sentence	target
Twardowski przy akompaniamencie muzyki wychyla się z okna , kłania oraz pozdrawia turystów i mieszkańców , machając ręką .	persName
Ostatniego dnia przed ogłoszeniem wyników poszedł em sobie pobiegać po Phoenix i popatrzeć na kraj , który za kilka godzin zafunduje sobie największy moment populizmu w swojej historii .	placeName
Do czerwca jest szmat czasu , trzeba grać dużo meczów .	time
A potem zerwał się na równe nogi .	noEntity
Kiedy woda szła , powódź od Tatr , oba się modlili .	geogName
- Czy reżyser z pewnym sukcesem , taki jak pan , może sobie w Polsce jakoś zaplanować karierę ?	placeName
lepszy jest niż kabaret .	noEntity
Zaproponowała Marcie udział w tej swoistej pielgrzymce .	persName
Polkomtel Plus dla potrzeb swojej sieci dzierżawił wtedy od Tele-Energo dwadzieścia łączy światłowodowych o przepustowości 2 Mb / s o łącznej długości 1,7 tys . km .	orgName
Ustalili śmy jednak , że Kowalski planował inne zakończenie .	persName
– w Warszawie w Warszawie . .	placeName
Nachor aż się zachłysnął z radości .	persName
– a parlament narodowy pozwala . na więcej niż posiedzenie rady europejskiej	orgName
– a że no nic no prosiła m wiesz widzisz Niemcy to byli tacy oni cię ładnie wysłuchali	placeName
Jest szczęśliwy , zauważa moją nową fryzurę .	noEntity
- Co mam czynić ?	noEntity
A czym może pochwalić się Ameryka ?	placeName
W szpitalu na Strahovie , gdzie się natychmiast udali śmy , najpierw nikt nie chciał z nami gadać .	placeName
To uroczy facet , ale kontakt jest ograniczony przez jego nieznajomość angielskiego .	placeName
Wojna domowa , która toczy się w Tadżykistanie , jest przestrogą , że trzęsienie ziemi może ogarnąć cały ten region , a jest on wszak na nie bardzo podatny - i geologicznie , i politycznie .	placeName
Przecinek , średnik , kropka czy nawias zamykający wpisuj zawsze bezpośrednio po ostatniej literze słowa poprzedzającego ten znak .	noEntity
Jeśli będzie akcja - broń znajdzie się " .	noEntity
Oto , co nam powiedzieli	noEntity
Do 1975 r . miasto powiatowe .	time
- Rozumiesz się na tym ? - zdziwiła się .	noEntity
Czekalskiego zdołał em jednak z kolegami podnieść do góry , ale z ust mu szła tak gęsta krew , że nie szło patrzeć . . . " .	persName
Dotychczas obowiązek donoszenia WKU o studentach , którzy przerwali naukę , spoczywał na uczelniach .	orgName
" Promontor " to była nazwa najpopularniejszego wówczas słodkiego wina węgierskiego .	placeName
Ci , co tak mówili nie zastanawiali się nad tym , ilu Ruskich umarło przedtem i że z tego powodu wprowadzono właśnie tą odzież .	placeName
I dlatego też należy ich szukaż w angielskim amazonie : ( http://www.amazon.co.uk ) .	placeName
Do Łodzi jest 30 km , do Sieradza 65 km .	placeName
Urodził się w Patarze .	placeName
- Tak - oświadczył em - bardzo .	noEntity
W budynkach Sejmu trwa operacja zwana zmianą warty .	orgName
Władze tej republiki próbują egzekwować ustawę , która uczyniła kazachstański językiem oficjalnym .	placeName
Tom pierwszy ukazał się w 1971 r . , do końca 1998 r . zaś wydano ich zaledwie sześć ( do litery Pc ) .	time
Mieszka pod Warszawą , a w swoim pięciohektarowym gospodarstwie , oprócz dwudziestu psów , hoduje także konie i kozy .	placeName
Ostatni z zespołów zrealizuje prace w zlewni strugi Rakówka .	geogName
W przypadku BIG-u ostatni miesiąc roku obrachunkowego przyniósł wynik poniżej tegorocznej średniej .	orgName
Nie zapomniał widać tamtego lata w Dojmach .	placeName
- Poszła już , ciociu ! - zapewniała Karolcia .	persName
Dowiedział się , co hitleryzm sprowadził na Niemcy , kraj jego ojca .	placeName
- Nowa kalkulacja usług świadczonych przez ZRP uwzględnia wszystkie koszty bezpośrednie i pośrednie .	orgName
Złożoność biografii Wilhelma bez wątpienia nie stanowiła tajemnicy dla jego współczesnych .	persName
– a gdzie w Dusznikach ?	placeName
Ministerstwo Finansów przyznaje jednak , że tam , gdzie już dziś faktyczne koszty produkcji ciepła są wyższe od urzędowej ceny za ciepło ( dziś 27,33 zł za 1 GJ ) wzrost cen energii cieplnej będzie wyższy niż 8 proc .	orgName
– Jutek mówi ło Jezu mówi tak się cieszyła ale wykończona była tak długo mówi .	persName
1 . Elementy zbrojenia przenoszone za pomocą żurawi powinny być zawieszone stabilnie i zabezpieczone przed wysunięciem się .	noEntity
Niepalący żyją dłużej .	noEntity
Nowy monitor LCD w ofercie Sony charakteryzuje się nietypowym rozmiarem ekranu , nawet jak na monitor LCD .	orgName
Za antyradar chcieli ukarać Białorusina 20-złotowym mandatem .	placeName
Prowadzi z przyjaciółmi firmę o wdzięcznej nazwie Towarzystwo Gastronomiczne .	orgName
Wziął em Roszka pod pachę i poszli śmy do nas do domu .	persName
Bandyta figurował na top liście Komendy Głównej Policji jako jeden z najgroźniejszych poszukiwanych przestępców .	orgName
Spotkanie w Kaiserslautern było jednak przerwaniem dobrej passy .	placeName
SPD " skok do przodu " się nie udał , straciła kilka posiadanych poprzednio mandatów .	orgName
– Dziennikarze wmówili sądowi i ludziom , że Róża musi wrócić do biologicznych rodziców .	persName
W 1995 roku rozpoczęły się jednak konflikty .	time
Przynosi on podarunki w nocy z 24 na 25 , przedostając się do domów poprzez komin .	time
Dzięki umowie Polacy i Ukraińcy będą się stale konsultować i wymieniać informacje o zmianach w prawie .	placeName
2 . Kompetencje i prawa wprowadzonego na teren TRYBUNY posterunku Milicji Obywatelskiej podlegają za każdym razem i w każdym wypadku rozporządzeniom i dyrektywom SEKRETARIATU KOMISJI DO SPRAW INTEGRACJI ;	orgName
Niekonwencjonalny sposób przemytu papierosów udaremnili świeccy celnicy .	placeName
Noc szła ciemna , bezgwiezdna i bezksiężycowa .	noEntity
Ja natomiast podał em tę wiadomość na grupę , żeby ś mógł bukiecie dobrze ulokować swoją kasę , bo to co dasz na podatki komunistom ( co chciał Ci zabrać Belka z oszczędności ) , to gorzej niżby ś dupę wytarł .	persName
Ogłoszone wczoraj dane Głównego Urzędu Statystycznego potwierdziły to , co od pewnego już czasu niepokoi analityków .	orgName
KTO PIERWSZY znajdzie się w Kosmosie ?	geogName
no ale niestety . powiedziała że w mega hicie nigdy nie była i nigdy tam nie pójdzie . .	geogName
– to ten Baj to jest też teatr jakby prywatny czy nie ?	orgName
o Jezu boli mnie głowa . .	persName
- Józik !	persName
Gdyby tak się stało , to w latach 2025 - 30 zdecydowana większość emerytów będzie otrzymywać świadczenie według nowego systemu .	time
Z biegiem lat Sekcja rozszerzyła swój zakres działania .	orgName
Spróbował poruszyć głową .	noEntity
I dziś te wyniosłe , ziemne nasypy są intrygującym elementem jego krajobrazu , nadal dominują nad podolską równiną .	geogName
" " Owszem , jest strasznie rozpaskudzony .	noEntity
Może jesteśmy przeczuleni , ale nazwa sugeruje , że Uniqua unika płacenia odszkodowań .	orgName
– patrzymy . yhm . no	noEntity
- Komu zwracasz uwagę ?	noEntity
MALBORK .	placeName
Nie wiadomo , co miał na myśli : cmentarz czy w ogóle miasto wydające ostatnie tchnienie pod rozżarzoną kulą słońca , ale właśnie od tego zdania , powiedzianego od niechcenia , zdania , które nie było skierowane do żadnego z nas i poleciało w powietrze , od tego właśnie zdania zaczęła się nasza prawdziwa przygoda z Weiserem .	persName
Pan de Berle stał przy oknie i patrzył na park .	persName
W styczniu drożeje też energia elektryczna i gaz , na które ceny będą nadal urzędowe .	time
Być może uda się także otrzymać bezkofeinową herbatę - gen jest ten sam .	noEntity
Jakby ktoś dusił niezliczone ogniska rozsiane po wszystkich członkach , wygładzał zaciśnięte węzły , przebijał wzdęte bąble .	noEntity
– Nowak zirytował się .	persName
Spośród dwunastu dyscyplin znajdujących się w programie imprezy , Polacy wystąpią w ośmiu : judo , gimnastyka sportowa , lekkoatletyka , pływanie , siatkówka , tenis , żeglarstwo i szermierka .	placeName
Do tej pory wyroby spółdzielni nigdy nie były eksportowane poza kraje europejskie .	geogName
Tłumacz zachował przecież zarówno znaczenie wizualne , jak i sensy metaforyczne , obecne w tekście angielskim .	placeName
A już na pewno z racji tej uczoności w 1456 roku dostał katedrę teologii , na której pozostał do końca dni swoich .	time
Lata świetlne dzielą popularność , jaką w Polsce cieszą się siatkówka czy koszykówka od zainteresowania piłką ręczną .	placeName
Karolina ze swoją bandą by ją wykończyła - o Rafaeli mówią nasi informatorzy .	persName
– Bodziu to chyba powinien iść pogadać do jakiegoś terapeuty czy . .	persName
Vega stała się silniejsza niż była od dłuższego już czasu .	persName
Pójdźmy na kompromis : dla wydawnictwa Amber to mistrz , dla jankesów uczeń .	orgName
Iracki dyktator twierdzi , że to skutki pocisków uranowych , a nie jego arsenału bakteriologiczno - chemicznego .	placeName
PiS-owi nie opłaca się koalicja z PO .	orgName
– to już za kilka minut posłuchamy Tomka i Małgosi	persName
Wysoka Izbo !	orgName
Tyle się słyszy o okrucieństwach serbów , ile to obozów oni założyli itd .	placeName
Z prostego rachunku wynika więc , że BEPH , który spłaci w sumie 20 mln zł ( zamiast 14 mln dolarów plus odsetki ) , będzie je miał za jedną piątą ceny .	orgName
Ekipy ratownicze dotarły wczoraj do górskiej wioski Kamionka Mała w gminie Laskowa ( woj . nowosądeckie ) , gdzie w środę po oberwaniu chmury na wieś zwaliła się lawina kamieni i błota .	placeName
LILY Nigdy w życiu , przysięgam na mą duszę .	persName
Później łupy pojawiały się na krakowskiej giełdzie elektronicznej .	placeName
Aczkolwiek moja ambicja jest bardziej rozwinięta .	noEntity
Pozdrawiam serdecznie Janusz C .	persName
W całej Hiszpanii takich stowarzyszeń jest dziś ok . 200 .	placeName
Po wejściu do wnętrza szopy skradł z niej 5 kur o wartości 50 złotych na szkodę mieszkańca Paterka .	placeName
Daj głowę złożyć strudzoną na jerozolimskim kamieniu .	placeName
Neurofizjolodzy przypuszczali dotąd , że jedną z przyczyn wysokiej " zdolności rozdzielczej " powonienia , nawet u tak kiepskiego węchowca , jakim jest człowiek , są różnice w wewnątrzkomórkowych mechanizmach obróbki informacji zapachowej ( patrz też : " Sygnały " , Seks , zapachy . . . , " WiŻ " nr 1 / 1997 ) .	time
W tym ostatnim można oglądać zachowane do dziś średniowieczne witraże w prezbiterium kościoła NMP .	geogName
Jestem pewny , że bez uciskanej Ukrainy Rosja wynormalniała by .	placeName
– niemiecki	placeName
za odrzuceniem głosowały PO i PSL . przeciw był PiS a lewica wstrzymała się . od . głosu	orgName
Siakti ( moc ) jest personifikacją energii boga w postaci żeńskiej .	persName
Taki scenariusz zapowiada " Niepokorny " - anonimowy pracownik firmy , który już gromadzi wokół siebie osoby zaniepokojone brakiem decyzji dotyczących podwyżek płac w fabryce oraz wprowadzeniem pracy w niedziele .	persName
W Rybniku niezbędne stało się więc teraz sokole oko .	placeName
W stan posiadania ZPR wpisano też kasyna oraz automaty do gry .	orgName
Jeśli reklamacja nie będzie uwzględniona , skieruję sprawę do sądu – mówi zdecydowanie Piecha .	persName
Drugi , wystawiony przez Neoplan , autobus nie jest co prawda przegubowy , ale prezentuje typ wielkopojemnościowy .	orgName
Te wszystkie rogi zostały zdemontowane i wywiezione do Szczecina .	placeName
W sumie 1 stycznia br . urodziła się czwórka niemowląt .	time
2 . Nie później niż w terminie 7 dni od uprawomocnienia się decyzji , o której mowa w ust . 1 , płatnik składek jest zobowiązany przekazać do Zakładu dokumenty związane z ubezpieczeniami społecznymi określone w ustawie za okres objęty decyzją .	orgName
Stwierdzam , że Sejm wniosek Unii Pracy Klubu Parlamentarnego odrzucił .	orgName
Mistrzostwa Świata to więcej niż Mistrzostwa Europy : ostrzejsze reguły , silniejsza konkurencja , nieznane trasy .	geogName
- Słyszał em , że przygotowuje Pan już nowy film .	noEntity
– drugiego października . .	time
miał dobre notowania teatr kaliski	placeName
Wielka Brytania .	placeName
Inna sprawa , czy goście będą w pełni umotywowani , skoro po zdobyciu Pucharu Polski mają już zapewniony udział w Pucharze Saporty .	placeName
Zresztą w raporcie dla Pentagonu nie chodziło o rzetelną wiedzę , ale o to , żeby " wyobrazić sobie niewyobrażalne " , czyli mówiąc wprost , żeby postraszyć .	orgName
Obiekt podobno dawno już mógł by być zainstalowany , brak tylko - jak to u nas - jakichś drobnych śrubek czy zawiasów .	noEntity
- Wierzę panu , niech mi pan jeszcze raz powie , teraz już prywatnie : powiedział pan Jasińskiemu czy nie ?	persName
Mediacja Ligi Narodów znalazła się w impasie .	orgName
Pomysł na książkę o tczewskich nekropoliach wziął się z wielu spacerów autora po mieście .	placeName
Mamusiu !	noEntity
– na mnie Pilar się ciągle patrzył się	persName
Podporucznik Stryjek zamknął okno .	persName
- Przecież to jest skandal !	noEntity
Na przykładzie zapowietrzonej sepsą jednostki wojsk powietrznych „ Wiadomości ” ( TVP 1 ) udowodniły , że zaraza ta stała się chorobą zawodową resortu kierowanego przez Sikorskiego .	persName
Uśmiechnął się w podzięce za to łaskawe poznanie jego osoby .	noEntity
Mam też pedeefa z kawałkiem drugiego niemieckiego wydania książki ( kilka stron ) .	placeName
W czterech różnych książkach , opisujących dzieje tego wielkiego wodza Indian , uczeni autorzy podają co najmniej pięć tłumaczeń .	placeName
Samochód jadący z taką prędkością jest narzędziem śmierci - stwierdził mecenas Jerzy Siwonia , który występował w imieniu oskarżycieli posiłkowych .	persName
To jest pomysł ! - pochwaliła Karolcia i dodała uprzejmie : - Proszę , może ty narysujesz ?	persName
W psychologii wyróżnia się mowę wewnętrzną i mowę zewnętrzną .	noEntity
To chyba ulubionym piwem księdza biskupa jest Żywiec .	noEntity
2a . Czynsz dzierżawny ustala się , w zależności od kategorii obwodu łowieckiego , mnożąc ilość hektarów obszaru dzierżawionego obwodu łowieckiego przez równowartość pieniężną żyta , stosując wskaźnik przeliczeniowy , który nie może być wyższy niż 0,07 q żyta za 1 hektar .	noEntity
— Wielu Europejczyków wyznaje ideologię komunistyczną .	geogName
Cena do uzgodnienia .	noEntity
Ale i wujkowi Władkowi żal się nagle tej czapki zrobiło : - Szkoda takiej czapki .	persName
Końcowa scena komedii kompromitującej do reszty tzw . system demokratyczny w tzw . niepodległej Polsce .	placeName
We wsi Ośrodek Doradztwa Rolniczego .	orgName
I łzy po nocach , i nasłuchiwanie , czy Stenia nie kaszle , i rumieńce wstydu , gdy pytano przy wnukach : a gdzież to pan zięć ? a cóż to o panu inżynierze nie słychać ?	persName
Jedną z firm mieszczących się obecnie w dawnym Orle Białym jest biuro specjalistów - doradców dla przedsiębiorstw upadających albo będących w trudnościach .	geogName
Posłanka Beger ma w tej sesji aż 6 egzaminów .	persName
Róża wchodzi do łóżka , przytula się uwodzicielsko , odwraca uwagę Pana Męża i sięga po telefon , po czym siada na łóżku i próbuje go odblokować .	persName
- Coś tam przecież widział - nacisnął Nicholas .	persName
Najciekawszy był oczywiście Akropol , chociaż to strasznie wysoko .	geogName
- Użyczę chętnie - przystał Ab-Ram .	persName
A przecież znali się od tylu lat , kiedy Elizabeth przyprowadziła go do domu , był młodym chłopcem , oboje chodzili jeszcze do college'u .	persName
- Uczony ś - powiedział nieustępliwie - i nie broń się .	noEntity
W 1976 poddany został zabiegom konserwatorskim , wymieniono m.in . gontowy dach .	time
Najpierw około godz . 10 .	time
i on dopiero zrobił łazienkę .	noEntity
Asocjacja trzecia jest najważniejsza , bo od niej wszystko się zaczęło ( choć wtedy , kiedy się zaczęło , wcale nie mogł em wiedzieć ani przeczuwać nawet , że się zaczęło ) .	noEntity
Obiecał em je podrzucić do miasteczka .	noEntity
To Marty miłość .	persName
– bo też myślę że jeszcze jeden taki paradoks o którym warto wspomnieć to to że stereotyp który teraz powielamy często . tego Żyda z pejsami to jest trochę tak naprawdę właśnie stereotyp propagandy nazistowskiej na przykład tak ?	placeName
Jak się w dodatku zna warunki , w jakich powstawała " Trylogia " , to po prostu nie do wiary , że pisano ją z odcinka na odcinek .	noEntity
Mimo to współczesne Państwo Kościelne uważa , że duchowni nie mogą kierować przedsiębiorstwami stanowiącymi jego własność , gdyż postawiło by to ich w sytuacji sprzecznej z powołaniem i tym samym szkodziło by opinii Watykanu w świecie .	orgName
Piotrek robił ryż i mówił że ten . .	persName
Dziś przemysłowiec w Kolonii .	placeName
– albo debet	noEntity
Wiece , o których pisał Helmold , odbywały się częściej : nie co poniedziałek wprawdzie , jak mniemał kronikarz , ale zapewne co miesiąc ( księżycowy ) .	persName
Miejsce każdego dobrego Polaka jest teraz w Polsce .	placeName
Geday wymyślił depilator , cudeńko .	persName
Rudzki : – Dobrze .	persName
- Jak najbardziej - odpowiada Anderson .	persName
Konie i przedmioty będące własnością zmarłego otrzymywali jako dary członkowie klanu .	noEntity
O ile pierwsze dwa wyróżniki - stawianie siebie wyżej , a innych niżej , są niejako wbudowane już w postawę uniwersalnego belfra - aktywisty ( do czego mniej więcej sprowadza się u Johnsona definicja " intelektualisty " ) , dwie pozostałe cechy nie zawsze są tak oczywiste .	persName
Rosja ma dwa oblicza .	placeName
to po pierwsze	noEntity
Abraham zdał test lojalności .	persName
Ja już informowali śmy część radnych zastanawiała się nad możliwością zmiany szyldu , bo AWS praktycznie już nie istnieje .	orgName
Dawno minęli śmy wzgórze , na którym pożegnał em Cavalerra .	persName
Prezes skontaktował się z osobami , którzy prowadzą kontrolę w Dowództwie Wojsk Lotniczych i Obrony Powietrznej .	orgName
Autorzy publikują listy Żydów we władzach , wojsku i organach bezpieczeństwa .	placeName
Konsjerżka , jak większość konsjerżek Portugalka , szorowała chodnik i mury ryżową szczotką .	placeName
Dlatego zawiesiła tabliczkę : uwaga zły pies , żeby któremu tyłka nie poszarpały , jakby chciał się wysikać pod płotem .	noEntity
Kelnerka przyniosła napoje .	noEntity
Moje życie ma być realizacją słów Maryi wypowiedzianych na modlitwie także przeze mnie : " Oto ja służebnica Pańska , niech mi się stanie według słowa twego " .	persName
Nie wiem , czemu ich zapamiętał em .	noEntity
Już po raz drugi odbędzie się więc w Lublinie Otwarty Konkurs Fryzjerski dla młodych fryzjerów ( do lat 30 ) i uczniów mających za sobą przynajmniej 3 lata nauki zawodu .	placeName
- Najczęściej stosowany jest angielski , choć jest także klub Esperanto .	placeName
Ma być gotowy w sierpniu przyszłego roku .	time
Stefan : - Rewelacja .	persName
Obok kościoła wysoki cis " Diakon '' .	geogName
Wnoszę o reasumpcję głosowania nad rezolucją , ponieważ było to niejasne we wniosku mniejszości nr I do prowizorium budżetowego i niejasne było odrzucenie w całości , po prostu Sejm został tutaj wprowadzony w błąd .	orgName
Powiem więcej – w moim programie wyborczym znalazł się pomysł , aby na ulicach Warszawy stanęły specjalne tablice ze zdjęciami tych miejsc zrobionymi tuż po wojnie .	placeName
Ale po co ogłaszać przetarg , skoro muszą wygrać partnerzy biznesowi Stanisława K . ?	persName
KK : A czy ś ty się Głowa kiedyś zastanawiał nad tym , że wszystkie rewolucje wymyślali prawnicy i że wszystkie psuli ?	persName
Przewiduje się , że w roku bieżącym szkoły ponadgimnazjalne w powiecie ostrzeszowskim ukończy 975 absolwentów .	placeName
CKM : Lubisz swój zawód ?	orgName
Mała poręczna książeczka , którą bez przeszkód można położyć obok klawiatury nawet na nieco zatłoczonym biurku będzie z pewnością poręczniejszym " podpowiadaczem " .	noEntity
Poseł w l . 1997 - 2001 .	time
- Życzę powodzenia - Regis zapiął torbę , rozwinął płaszcz .	persName
Jest to też jedna z najbardziej trwałych zdobyczy solidarnościowego przełomu .	orgName
Kupon opublikujemy w dniu 13 lutego .	time
Komisja wnosi o uchwalenie projektu ustawy w brzmieniu zawartym w sprawozdaniu w druku nr 3357 .	noEntity
Sąd Wojewódzki dopatrzył się racji w stanowisku pozwanych .	orgName
w ogóle nie patrzę panie Mariuszu na telewizję . .	persName
Trwa obecnie jego budowa , powstaje on przy ulicy Niepodległości .	geogName
Odpowiedź t ( t ) aproksymuje się krzywą zastępczą odpowiedzi układu inercyjnego pierwszego rzędu z czasem opóźnienia .	noEntity
" Prosimy o wpis wszystkich , którzy dość mają rządów tzw . Warszawki " - zachęcają wirtualni zwolennicy secesji .	orgName
Odczytane zostało oświadczenie posłów Prawa i Sprawiedliwości : " Nasz sprzeciw budzi każda próba ograniczenia dziennikarskiej wolności .	orgName
Nauczyciel , potem dyrektor w Liceum Plastycznym ( obecnie nosi jego imię ) .	orgName
- Inicjatywa dwudziestu dwóch senatorów , których podpisy figurują pod propozycją nowelizacji , dotyczyła umożliwienia spółkom wodnym prowadzenia działalności zbiorowego zaopatrzenia w wodę i zbiorowego odprowadzania ścieków .	orgName
Jak wynika z doświadczeń pracowników Urzędu Ochrony Konkurencji i Konsumentów , próba odebrania wyłudzonych pieniędzy na drodze sądowej jest niełatwa i długotrwała .	orgName
Rano Saszka zapukał do drzwi .	persName
Dzięki antenom " Polcomtelu " i masztowi " Centertelu " zadziałają " komórki " w promieniu 40 kilometrów .	orgName
Z innej beczki : co mają myśleć gliniarze jednego z wielkich komisariatów w Warszawie , gdy szef poleca im , by w biały dzień zajechali radiowozem przed blok i sprzątnęli z trawnika psie gówno , które śmierdzi ustosunkowanej mieszkance domu .	placeName
W Egipcie sporo jest Polaków ; handlowców , inżynierów .	placeName
Dlatego w lutym wyprowadził się z domu .	time
Poświęcenia obiektu dokonał ks . dziekan Antoni Sroka	persName
– ja myślała m że ty stukasz tam wiesz yyy w Bydgoszczy czy tam w Toruniu czy tam właściwie w Gniewkowie	placeName
W końcu zapada decyzja : pieczęcie do paszportów , możemy jechać do Katynia .	placeName
4 . Koszty realizacji uprawnień wymienionych w ust . 3 pkt 1 i 2 nie mogą obciążać zakładu opieki zdrowotnej .	noEntity
Przez niego agencja prowadzi wiele postępowań komorniczych przeciw spółkom ( powiązanym kapitałowo z Zenonem F . ) .	persName
Sejm podjął decyzję o wysłuchaniu w dyskusji nad tym punktem porządku dziennego 10-minutowych oświadczeń w imieniu klubów i 5-minutowych oświadczeń w imieniu kół .	orgName
- Oni nie mają po pięćdziesiątce tak jak pan - powiedział Maliszewski .	persName
– Kakowskim	persName
Krzysiek parsknął śmiechem .	persName
Odnaleziona w rejonie fortu Optyń wieża jest w doskonałym stanie .	geogName
- Swoją drogą , jak mu się udało zostać gwiazdą AWS , po tym wszystkim , co zrobił , a raczej czego nie zrobił w telewizji , pozostanie chyba na zawsze jego tajemnicą .	orgName
Podczas specjalnie zwołanej sesji , podczas której nie udało się odwołać starosty , zapowiadano , że zarząd nie dostanie absolutorium za wykonanie budżetu w ub . roku .	noEntity
Zawsze ktoś ze mną jest .	noEntity
Jeżeli zważyć , że przeciętny okres pontyfikatu nie przekraczał siedmiu lat , łatwo się domyślić , ile takich rodzin książęcych namnożyło się w Rzymie i okolicy .	placeName
Staruszkowie skwapliwie wyściskali Pindla , a on stał oszołomiony .	persName
Chociaż wartość współczynnika wypłacalności jest jednym z elementów branych pod uwagę przy ocenie bezpieczeństwa banku , ma on stosunkowo nieduże znaczenie w przypadku banku Pekao SA .	orgName
T .	persName
Jedno z hiszpańskich wydawnictw płytowych wprowadziło do sprzedaży płytę , która ma zapewniać psom odprężenie i przeżycia estetyczne .	placeName
Jak zwykle przybywał punktualnie na jej wezwanie .	noEntity
A przy okazji o mało się nie wtarł em w miałkie . . .	noEntity
Mundek odwrócił się od stolika z radosnym uśmiechem , zapraszającym gestem wskazał wolne miejsca .	persName
I nagle . . . Lazurowy Brzeg .	geogName
Na dziedzińcu zamku lubelskiego natrafiono na fragmenty konstrukcji zrębowej drewnianej chaty .	placeName
Czy życzenie będzie ważne i wobec Piotra ?	persName
Potem naprawił broń , sprawdził na psie .	noEntity
Pokazuje nam odpowiedni dokument panamski i dwa zaświadczenia .	placeName
– no tak to ja też mam tak . .	noEntity
Policjanci nie przyznają się do winy , tymczasem według prokuratury zamierzali oni wziąć od jednego z warszawskich kierowców tysiąc zł .	placeName
Obowiązywać będzie od połowy maja .	time
Tutaj mieszkała siostra jednego z kierowców .	noEntity
Z całego nakładu książki Witkacego wycięto stronę przedtytułową .	persName
– To po co cała zadyma „ Wyborczej ” z mailami i odwoływanie się do wartości chrześcijańskich ?	orgName
Dawno już nie było w Sejmie takiej zgody .	geogName
Komisja tak podzieliła się w głosowaniu w tej sprawie , że rozstrzygnięcie było niemożliwe - dwóch członków komisji było za ukaraniem gwiżdżących posłów , dwóch przeciw i jeden wstrzymał się od głosu .	orgName
- To drugie . . . - Potejto .	persName
W Paryżu zaczyna się wyczekiwanie .	placeName
Naród od dawna wiedział , że w Sejmie , jak na bazarze , handluje się funkcjami i stanowiskami .	geogName
i to jest	noEntity
Losy ekipy rządzącej są przesądzone i jej egzystencja polityczna jest tylko kwestią czasu .	noEntity
– chcesz się przejść ?	noEntity
Organizatorem konkursu był Instytut Przemysłu Mięsnego i Tłuszczowego , patronem - minister rolnictwa .	orgName
tutaj jest . mama .	noEntity
A jutro kolejne łowy na meczu RAPu .	orgName
urodzony w Warszawie .	placeName
Jak Unia naprawdę nam pomaga ?	orgName
Kolejna propozycja dotyczy kierowców , którzy przed jazdą pili , ale wypadku nie spowodowali .	noEntity
Pan Drugi odwraca się , idzie na lewo , odwraca się i rozkrzyżowuje ramiona .	persName
Ojciec zabitego uważa , że do rodziców należy wpojenie najbardziej podstawowych zasad : nie zabijaj i nie kradnij .	noEntity
Wszystko dzięki zmyślności Stefana .	persName
Płynęli przez chwilę w milczeniu , Rospuda przecinała pola , prosta i nudna jak nie uczęszczany trakt .	geogName
Dotychczas znudzonej cywilizacji brakowało tego pomysłu - prawicowy tygodnik " Nowe Państwo " go podrzucił .	orgName
Łódź .	placeName
Orgia trwała godzinę , a może znacznie dłużej , Saszka , powodowany ciekawością , od czasu do czasu uchylał kołdrę , żeby zobaczyć , co się dzieje .	persName
Królowała wśród nich pani Gieniuchna .	persName
Standardy te zostały opracowane przez Centralną Komisję Egzaminacyjną z uwzględnieniem osiągnięć uczniów ( wiedzy i umiejętności ) zawartych w Podstawie programowej kształcenia ogólnego .	orgName
– łącznie tam z wypadami do Baden i tam . .	placeName
Środki te mają być wykorzystane na poprawę stanu technicznego urządzeń melioracji wodnych na Żuławach .	geogName
Paweł przewraca się .	persName
- Psychologicznie jesteśmy gotowi - powiedział Hussajn .	persName
- I ty uważasz , że tak powinno być ? !	noEntity
Ujawnili śmy , że od 2003 r . poseł jeździł BMW 735ie , należącym do przestępcy .	time
Milva , która wyszła wkrótce po nim , chrząknęła niepewnie .	persName
Ale świetnie się rusza .	noEntity
W ten sposób najprostrze prace np . sprzątanie czy składanie pudełek w firmie wysyłkowej ( częsty obrazek z USA ) było by wynagradzane na poziomie podobnym co w Polsce , a tak nie jest - jesy wynagradzane 5 x tyle .	placeName
Aniela czytała z wysiłkiem , przeskakując oczami zamazane stronice : 1 . Brudne podwórko cytadeli .	persName
Konieczna jest dobra endokrynologia , laparoskopia , endoskopia , laboratoria , andrologia , bank nasienia ( przy ulicy Polnej jest jedyny w kraju ) .	geogName
Jest tylko jedna obawa , której dziś się nie przewidzi - czy ten poseł PiS nie wykorzysta CBA do walki z opozycją .	orgName
Co to jest wstawka antyspamowa ?	noEntity
yyy płyny odżywanie yyy cała opieka to jest właściwie dwudziestoczterogodzinny podgląd tego człowieka i obserwacja	noEntity
Może otrzeźwił go ten ironiczny błysk w oku Zelmana . . .	persName
Przedstawiciele trzech największych ugrupowań w Sejmie : SLD , PSL i UW przedstawili wspólnie wypracowany projekt części nowej konstytucji dotyczącej samorządów .	orgName
A może chciał by ś coś napisać w ramach tematu grupy ?	noEntity
Od Sęków trąba przeszła do Chylińskich , którzy ledwie co skończyli obiad ( kapuśniak i schabowy ) .	persName
Ich wpływ na osłabianie politycznej pozycji Polski wobec nadchodzących rozstrzygnięć był oczywisty .	placeName
– od zakładu energetycznego .	noEntity
Składem do Kołobrzegu pojechało 150 dzieci .	placeName
Pięciu laureatów wybrała kapituła konkursowa z listy nominowanych firm , rekomendowanych przez organizacje Sejmiku Gospodarczego .	orgName
– tak powiedział w Niemczech . tak	placeName
